Date,Name,Symbol,Price,Market Cap,Circulating Supply
Historical Snapshot - 27 December 2020,Tezos,XTZ,$2.00,"$1,510,425,125.03","754,807,229"
Historical Snapshot - 27 December 2020,UNUS SED LEO,LEO,$1.36,"$1,354,911,353.37","999,498,893"
Historical Snapshot - 20 December 2020,Ethereum,ETH,$638.29,"$72,711,065,644.98","113,915,257"
Historical Snapshot - 20 December 2020,XRP,XRP,$0.5561,"$25,247,252,304.51","45,404,028,640"
Historical Snapshot - 20 December 2020,Tether,USDT,$0.9996,"$20,293,091,729.71","20,300,339,262"
Historical Snapshot - 20 December 2020,Litecoin,LTC,$114.67,"$7,583,089,812.36","66,131,986"
Historical Snapshot - 20 December 2020,Bitcoin Cash,BCH,$348.16,"$6,476,086,511.26","18,600,863"
Historical Snapshot - 20 December 2020,Chainlink,LINK,$13.07,"$5,195,479,300.22","397,509,556"
Historical Snapshot - 20 December 2020,Cardano,ADA,$0.162,"$5,039,863,586.81","31,112,484,646"
Historical Snapshot - 20 December 2020,Binance Coin,BNB,$34.16,"$4,932,970,915.74","144,406,561"
Historical Snapshot - 20 December 2020,Polkadot,DOT,$5.19,"$4,628,079,243.35","891,992,110"
Historical Snapshot - 20 December 2020,Stellar,XLM,$0.177,"$3,864,704,195.27","21,837,110,720"
Historical Snapshot - 20 December 2020,Bitcoin SV,BSV,$182.79,"$3,400,418,236.31","18,602,739"
Historical Snapshot - 20 December 2020,USD Coin,USDC,$0.9999,"$3,356,572,079.29","3,356,930,102"
Historical Snapshot - 20 December 2020,EOS,EOS,$3.14,"$2,943,075,513.43","938,776,322"
Historical Snapshot - 20 December 2020,Wrapped Bitcoin,WBTC,"$23,472.00","$2,715,966,896.79","115,711"
Historical Snapshot - 31 January 2021,Bitcoin,BTC,"$33,114.36","$616,452,744,533.28","18,615,875"
Historical Snapshot - 20 December 2020,Monero,XMR,$152.50,"$2,713,151,523.74","17,791,156"
Historical Snapshot - 20 December 2020,NEM,XEM,$0.2892,"$2,602,881,250.22","8,999,999,999"
Historical Snapshot - 20 December 2020,TRON,TRX,$0.03123,"$2,237,591,259.65","71,659,657,369"
Historical Snapshot - 20 December 2020,Tezos,XTZ,$2.27,"$1,708,882,906.02","754,020,902"
Historical Snapshot - 20 December 2020,Crypto.com Coin,CRO,$0.06605,"$1,471,282,845.89","22,274,885,843"
Historical Snapshot - 31 January 2021,Ethereum,ETH,"$1,314.99","$150,543,956,657.30","114,483,295"
Historical Snapshot - 31 January 2021,Tether,USDT,$1.00,"$26,451,988,954.48","26,430,641,890"
Historical Snapshot - 31 January 2021,XRP,XRP,$0.4923,"$22,353,042,408.26","45,404,028,640"
Historical Snapshot - 31 January 2021,Polkadot,DOT,$16.12,"$14,603,207,739.22","905,832,287"
Historical Snapshot - 31 January 2021,Cardano,ADA,$0.3449,"$10,730,622,858.42","31,112,484,646"
Historical Snapshot - 31 January 2021,Chainlink,LINK,$22.60,"$9,129,983,491.14","404,009,556"
Historical Snapshot - 31 January 2021,Litecoin,LTC,$129.57,"$8,602,571,147.43","66,392,815"
Historical Snapshot - 31 January 2021,Bitcoin Cash,BCH,$399.77,"$7,452,675,943.77","18,642,413"
Historical Snapshot - 31 January 2021,Binance Coin,BNB,$44.28,"$6,842,092,372.86","154,532,785"
Historical Snapshot - 31 January 2021,Stellar,XLM,$0.3057,"$6,802,946,003.14","22,253,500,694"
Historical Snapshot - 31 January 2021,USD Coin,USDC,$1,"$5,868,871,806.00","5,869,101,909"
Historical Snapshot - 31 January 2021,Uniswap,UNI,$17.67,"$5,111,402,819.63","289,330,793"
Historical Snapshot - 31 January 2021,Dogecoin,DOGE,$0.0372,"$4,767,745,805.27","128,178,256,703"
Historical Snapshot - 31 January 2021,Wrapped Bitcoin,WBTC,"$33,085.08","$3,836,904,891.52","115,971"
Historical Snapshot - 31 January 2021,Aave,AAVE,$300.06,"$3,697,226,540.33","12,321,519"
Historical Snapshot - 31 January 2021,Bitcoin SV,BSV,$173.86,"$3,240,799,554.89","18,640,233"
Historical Snapshot - 31 January 2021,EOS,EOS,$2.91,"$2,769,206,402.13","950,153,513"
Historical Snapshot - 31 January 2021,Monero,XMR,$138.06,"$2,461,328,838.56","17,827,874"
Historical Snapshot - 31 January 2021,TRON,TRX,$0.0316,"$2,264,672,300.14","71,659,657,369"
Historical Snapshot - 17 January 2021,Bitcoin,BTC,"$35,791.28","$665,831,621,390.99","18,603,181"
Historical Snapshot - 17 January 2021,Ethereum,ETH,"$1,230.17","$140,601,384,429.82","114,294,061"
Historical Snapshot - 17 January 2021,Tether,USDT,$1.00,"$24,335,202,163.05","24,325,132,871"
Historical Snapshot - 17 January 2021,Polkadot,DOT,$16.98,"$15,306,722,569.89","901,230,178"
Historical Snapshot - 17 January 2021,XRP,XRP,$0.2774,"$12,594,335,138.24","45,404,028,640"
Historical Snapshot - 17 January 2021,Cardano,ADA,$0.3799,"$11,818,146,766.16","31,112,484,646"
Historical Snapshot - 17 January 2021,Litecoin,LTC,$142.43,"$9,443,391,846.20","66,301,604"
Historical Snapshot - 17 January 2021,Chainlink,LINK,$23.17,"$9,301,680,726.27","401,509,556"
Historical Snapshot - 17 January 2021,Bitcoin Cash,BCH,$478.77,"$8,919,517,290.65","18,630,075"
Historical Snapshot - 17 January 2021,Stellar,XLM,$0.3036,"$6,707,475,316.09","22,095,601,011"
Historical Snapshot - 17 January 2021,Binance Coin,BNB,$45.68,"$6,505,788,374.76","142,406,561"
Historical Snapshot - 17 January 2021,USD Coin,USDC,$1.00,"$5,062,831,585.00","5,060,531,253"
Historical Snapshot - 17 January 2021,Wrapped Bitcoin,WBTC,"$35,895.35","$3,979,813,463.88","110,873"
Historical Snapshot - 17 January 2021,Bitcoin SV,BSV,$199.10,"$3,708,781,663.35","18,627,845"
Historical Snapshot - 17 January 2021,Monero,XMR,$159.58,"$2,843,108,153.80","17,815,879"
Historical Snapshot - 17 January 2021,EOS,EOS,$2.76,"$2,596,855,040.16","939,561,446"
Historical Snapshot - 17 January 2021,Uniswap,UNI,$8.66,"$2,402,396,385.25","277,346,955"
Historical Snapshot - 17 January 2021,Aave,AAVE,$186.26,"$2,280,831,100.50","12,245,097"
Historical Snapshot - 17 January 2021,Tezos,XTZ,$2.97,"$2,244,822,024.32","757,029,421"
Historical Snapshot - 17 January 2021,TRON,TRX,$0.03014,"$2,159,870,004.60","71,659,657,369"
