Date,Name,Symbol,Price,Market Cap,Circulating Supply,url
Historical Snapshot - 10 November 2019,Bitcoin,BTC,,"$163,364,406,731.87","18,040,300",https://coinmarketcap.com/historical/20191110/
Historical Snapshot - 15 December 2019,Bitcoin,BTC,,"$129,481,424,647.56","18,103,462",https://coinmarketcap.com/historical/20191215/
Historical Snapshot - 24 November 2019,Bitcoin,BTC,,"$127,327,398,565.03","18,065,962",https://coinmarketcap.com/historical/20191124/
Historical Snapshot - 13 October 2019,Bitcoin,BTC,,"$149,700,817,938.86","17,990,712",https://coinmarketcap.com/historical/20191013/
Historical Snapshot - 27 October 2019,Bitcoin,BTC,,"$172,087,039,875.45","18,016,350",https://coinmarketcap.com/historical/20191027/
Historical Snapshot - 20 October 2019,Bitcoin,BTC,,"$148,026,597,063.94","18,003,550",https://coinmarketcap.com/historical/20191020/
Historical Snapshot - 29 September 2019,Bitcoin,BTC,,"$145,590,374,680.61","17,964,837",https://coinmarketcap.com/historical/20190929/
Historical Snapshot - 06 October 2019,Bitcoin,BTC,,"$143,607,672,862.46","17,977,575",https://coinmarketcap.com/historical/20191006/
Historical Snapshot - 03 November 2019,Bitcoin,BTC,,"$166,495,319,475.22","18,028,037",https://coinmarketcap.com/historical/20191103/
Historical Snapshot - 22 September 2019,Bitcoin,BTC,,"$180,784,051,698.60","17,952,037",https://coinmarketcap.com/historical/20190922/
Historical Snapshot - 01 December 2019,Bitcoin,BTC,,"$134,215,145,409.92","18,077,837",https://coinmarketcap.com/historical/20191201/
Historical Snapshot - 15 September 2019,Bitcoin,BTC,,"$185,618,174,383.96","17,938,087",https://coinmarketcap.com/historical/20190915/
Historical Snapshot - 08 December 2019,Bitcoin,BTC,,"$136,847,419,895.98","18,091,112",https://coinmarketcap.com/historical/20191208/
Historical Snapshot - 08 September 2019,Bitcoin,BTC,,"$187,150,078,006.71","17,924,062",https://coinmarketcap.com/historical/20190908/
Historical Snapshot - 18 August 2019,Bitcoin,BTC,,"$185,022,920,955.42","17,883,850",https://coinmarketcap.com/historical/20190818/
Historical Snapshot - 25 August 2019,Bitcoin,BTC,,"$181,450,186,164.48","17,897,112",https://coinmarketcap.com/historical/20190825/
Historical Snapshot - 01 September 2019,Bitcoin,BTC,,"$174,768,292,883.37","17,910,312",https://coinmarketcap.com/historical/20190901/
Historical Snapshot - 11 August 2019,Bitcoin,BTC,,"$205,941,632,234.68","17,871,325",https://coinmarketcap.com/historical/20190811/
Historical Snapshot - 14 July 2019,Bitcoin,BTC,,"$182,741,933,551.73","17,817,950",https://coinmarketcap.com/historical/20190714/
Historical Snapshot - 07 July 2019,Bitcoin,BTC,,"$203,881,891,345.94","17,804,962",https://coinmarketcap.com/historical/20190707/
Historical Snapshot - 30 June 2019,Bitcoin,BTC,,"$192,442,065,810.22","17,790,450",https://coinmarketcap.com/historical/20190630/
Historical Snapshot - 16 June 2019,Bitcoin,BTC,,"$159,769,423,369.73","17,763,037",https://coinmarketcap.com/historical/20190616/
Historical Snapshot - 23 June 2019,Bitcoin,BTC,,"$192,970,090,354.71","17,776,462",https://coinmarketcap.com/historical/20190623/
Historical Snapshot - 28 July 2019,Bitcoin,BTC,,"$170,461,958,073.99","17,844,075",https://coinmarketcap.com/historical/20190728/
Historical Snapshot - 09 June 2019,Bitcoin,BTC,,"$136,465,098,533.16","17,750,225",https://coinmarketcap.com/historical/20190609/
Historical Snapshot - 04 August 2019,Bitcoin,BTC,,"$195,907,875,403.02","17,858,212",https://coinmarketcap.com/historical/20190804/
Historical Snapshot - 21 July 2019,Bitcoin,BTC,,"$188,987,475,961.56","17,830,512",https://coinmarketcap.com/historical/20190721/
Historical Snapshot - 02 June 2019,Bitcoin,BTC,,"$155,077,231,351.22","17,737,387",https://coinmarketcap.com/historical/20190602/
Historical Snapshot - 26 May 2019,Bitcoin,BTC,,"$153,725,486,067.29","17,724,162",https://coinmarketcap.com/historical/20190526/
Historical Snapshot - 19 May 2019,Bitcoin,BTC,,"$145,185,076,704.97","17,710,487",https://coinmarketcap.com/historical/20190519/
Historical Snapshot - 05 May 2019,Bitcoin,BTC,,"$102,494,420,158.46","17,684,537",https://coinmarketcap.com/historical/20190505/
Historical Snapshot - 12 May 2019,Bitcoin,BTC,,"$123,389,710,222.36","17,696,950",https://coinmarketcap.com/historical/20190512/
Historical Snapshot - 28 April 2019,Bitcoin,BTC,,"$93,391,244,394.89","17,670,537",https://coinmarketcap.com/historical/20190428/
Historical Snapshot - 17 March 2019,Bitcoin,BTC,,"$70,821,939,585.38","17,594,512",https://coinmarketcap.com/historical/20190317/
Historical Snapshot - 31 March 2019,Bitcoin,BTC,,"$72,339,379,035.95","17,620,525",https://coinmarketcap.com/historical/20190331/
Historical Snapshot - 24 March 2019,Bitcoin,BTC,,"$70,823,042,992.43","17,608,175",https://coinmarketcap.com/historical/20190324/
Historical Snapshot - 03 March 2019,Bitcoin,BTC,,"$67,592,376,373.20","17,569,350",https://coinmarketcap.com/historical/20190303/
Historical Snapshot - 10 March 2019,Bitcoin,BTC,,"$69,475,297,369.72","17,581,562",https://coinmarketcap.com/historical/20190310/
Historical Snapshot - 07 April 2019,Bitcoin,BTC,,"$91,674,230,185.93","17,633,400",https://coinmarketcap.com/historical/20190407/
Historical Snapshot - 21 April 2019,Bitcoin,BTC,,"$93,847,052,256.19","17,658,575",https://coinmarketcap.com/historical/20190421/
Historical Snapshot - 14 April 2019,Bitcoin,BTC,,"$91,188,595,340.79","17,645,800",https://coinmarketcap.com/historical/20190414/
Historical Snapshot - 24 February 2019,Bitcoin,BTC,,"$66,897,483,404.15","17,556,425",https://coinmarketcap.com/historical/20190224/
Historical Snapshot - 13 January 2019,Bitcoin,BTC,,"$62,106,461,671.35","17,480,237",https://coinmarketcap.com/historical/20190113/
